Reporter Countries;Partner Countries;Element;Y2017
Albania;Brazil;Import Quantity;34191.0
Albania;Bulgaria;Export Quantity;16396.0
Albania;Bulgaria;Import Quantity;12662.0
Albania;Burkina Faso;Export Quantity;10.0
Albania;Cabo Verde;Export Quantity;251.0
Albania;Cameroon;Export Quantity;0.0
Albania;Cameroon;Import Quantity;18.0
Albania;Canada;Export Quantity;48.0
Albania;Canada;Import Quantity;2067.0
Albania;China, Hong Kong SAR;Export Quantity;4.0
Albania;China, Hong Kong SAR;Import Quantity;1.0
Albania;China, Taiwan Province of;Export Quantity;0.0
Albania;China, Taiwan Province of;Import Quantity;40.0
Albania;China, mainland;Export Quantity;57.0
Albania;China, mainland;Import Quantity;4495.0
Albania;Colombia;Export Quantity;0.0
Albania;Colombia;Import Quantity;1655.0
Albania;Croatia;Export Quantity;4142.0
Albania;Croatia;Import Quantity;8631.0
Albania;Cyprus;Export Quantity;0.0
Albania;Cyprus;Import Quantity;64.0
Albania;Czechia;Export Quantity;5422.0
Albania;Czechia;Import Quantity;1922.0
Albania;Côte d'Ivoire;Export Quantity;0.0
Albania;Côte d'Ivoire;Import Quantity;18.0
Albania;Denmark;Export Quantity;198.0
Albania;Denmark;Import Quantity;793.0
Albania;Ecuador;Import Quantity;24075.0
Albania;Egypt;Export Quantity;69.0
Albania;Egypt;Import Quantity;1978.0
Albania;Estonia;Export Quantity;296.0
Albania;Estonia;Import Quantity;9.0
Albania;Finland;Export Quantity;0.0
Albania;Finland;Import Quantity;24.0
Albania;France;Export Quantity;1005.0
Albania;France;Import Quantity;7027.0
Albania;Georgia;Import Quantity;14.0
Albania;Germany;Export Quantity;2980.0
Albania;Germany;Import Quantity;18352.0
Albania;Ghana;Export Quantity;16.0
Albania;Ghana;Import Quantity;0.0
Albania;Greece;Export Quantity;12622.0
Albania;Greece;Import Quantity;111104.0
Albania;Guatemala;Import Quantity;1456.0
Albania;Honduras;Import Quantity;19.0
Albania;Hungary;Export Quantity;1965.0
Albania;Hungary;Import Quantity;12351.0
Albania;Iceland;Export Quantity;1.0
Albania;India;Export Quantity;54.0
Albania;India;Import Quantity;2074.0
Albania;Indonesia;Export Quantity;1.0
Albania;Indonesia;Import Quantity;2111.0
Albania;Iran (Islamic Republic of);Import Quantity;112.0
Albania;Ireland;Export Quantity;0.0
Albania;Ireland;Import Quantity;39.0
Albania;Israel;Export Quantity;23.0
Albania;Israel;Import Quantity;7.0
Albania;Italy;Export Quantity;11515.0
Albania;Italy;Import Quantity;109491.0
Albania;Japan;Export Quantity;1.0
Albania;Kazakhstan;Export Quantity;0.0
Albania;Kenya;Export Quantity;15.0
Albania;Kuwait;Export Quantity;39.0
Albania;Kuwait;Import Quantity;23.0
Albania;Kyrgyzstan;Import Quantity;153.0
Albania;Latvia;Export Quantity;425.0
Albania;Latvia;Import Quantity;3.0
Albania;Lebanon;Export Quantity;31.0
Albania;Lithuania;Export Quantity;1666.0
Albania;Lithuania;Import Quantity;866.0
Albania;Luxembourg;Import Quantity;0.0
Albania;Madagascar;Export Quantity;0.0
Albania;Madagascar;Import Quantity;0.0
Albania;Malaysia;Export Quantity;18.0
Albania;Malaysia;Import Quantity;1638.0
Albania;Mali;Export Quantity;23.0
Albania;Malta;Export Quantity;4.0
Albania;Malta;Import Quantity;0.0
Albania;Mauritania;Export Quantity;38.0
Albania;Mauritius;Export Quantity;1.0
Albania;Mauritius;Import Quantity;198.0
Albania;Mexico;Export Quantity;2.0
Albania;Mexico;Import Quantity;6037.0
Albania;Montenegro;Export Quantity;10999.0
Albania;Montenegro;Import Quantity;6947.0
Albania;Morocco;Import Quantity;1561.0
Albania;Netherlands;Export Quantity;160.0
Albania;Netherlands;Import Quantity;17674.0
Albania;New Zealand;Export Quantity;0.0
Albania;New Zealand;Import Quantity;13.0
Albania;North Macedonia;Export Quantity;11174.0
Albania;North Macedonia;Import Quantity;29193.0
Albania;Norway;Export Quantity;44.0
Albania;Norway;Import Quantity;144.0
Albania;Pakistan;Import Quantity;3603.0
Albania;Paraguay;Import Quantity;274.0
Albania;Peru;Import Quantity;36.0
Albania;Philippines;Export Quantity;22.0
Albania;Poland;Export Quantity;2798.0
Albania;Poland;Import Quantity;13613.0
Albania;Portugal;Import Quantity;7520.0
Albania;Republic of Korea;Export Quantity;1.0
Albania;Republic of Korea;Import Quantity;97.0
Albania;Republic of Moldova;Export Quantity;224.0
Albania;Republic of Moldova;Import Quantity;124.0
Albania;Romania;Export Quantity;12243.0
Albania;Romania;Import Quantity;6209.0
Albania;Russian Federation;Export Quantity;5.0
Albania;Russian Federation;Import Quantity;176576.0
Albania;Senegal;Export Quantity;1014.0
Albania;Senegal;Import Quantity;0.0
Albania;Serbia;Export Quantity;29221.0
Albania;Serbia;Import Quantity;169347.0
Albania;Seychelles;Export Quantity;16.0
Albania;Singapore;Export Quantity;0.0
Albania;Singapore;Import Quantity;23.0
Albania;Slovakia;Export Quantity;1678.0
Albania;Slovakia;Import Quantity;526.0
Albania;Slovenia;Export Quantity;2068.0
Albania;Slovenia;Import Quantity;1156.0
Albania;South Africa;Export Quantity;2.0
Albania;South Africa;Import Quantity;323.0
Albania;Spain;Export Quantity;62.0
Albania;Spain;Import Quantity;8045.0
Albania;Sri Lanka;Export Quantity;2.0
Albania;Sri Lanka;Import Quantity;1949.0
Albania;Sweden;Export Quantity;402.0
Albania;Sweden;Import Quantity;2.0
Albania;Switzerland;Export Quantity;407.0
Albania;Switzerland;Import Quantity;390.0
Albania;Thailand;Export Quantity;0.0
Albania;Thailand;Import Quantity;3427.0
Albania;Tunisia;Export Quantity;1.0
Albania;Tunisia;Import Quantity;5094.0
Albania;Turkey;Export Quantity;1222.0
Albania;Turkey;Import Quantity;25421.0
Albania;Ukraine;Export Quantity;917.0
Albania;Ukraine;Import Quantity;23792.0
Albania;United Kingdom;Export Quantity;220.0
Albania;United Kingdom;Import Quantity;3922.0
Albania;United States of America;Export Quantity;445.0
Albania;United States of America;Import Quantity;10329.0
Albania;Uruguay;Export Quantity;0.0
Albania;Uruguay;Import Quantity;148.0
Algeria;Albania;Export Quantity;16134.0
Algeria;Albania;Import Quantity;59.0
Algeria;Angola;Export Quantity;36.0
Algeria;Argentina;Import Quantity;6049281.0
Algeria;Australia;Export Quantity;9.0
Algeria;Australia;Import Quantity;33952.0
Algeria;Austria;Export Quantity;0.0
Algeria;Austria;Import Quantity;2251.0
Algeria;Azerbaijan;Export Quantity;198.0
Algeria;Bahrain;Export Quantity;6.0
Algeria;Bangladesh;Export Quantity;2192.0
Algeria;Bangladesh;Import Quantity;115.0
Algeria;Belarus;Export Quantity;20.0
Algeria;Belarus;Import Quantity;17.0
Algeria;Belgium;Export Quantity;3668.0
Algeria;Belgium;Import Quantity;51457.0
Algeria;Benin;Export Quantity;3178.0
Algeria;Bosnia and Herzegovina;Export Quantity;0.0
Algeria;Brazil;Import Quantity;2939014.0
Algeria;Bulgaria;Export Quantity;50.0
Algeria;Bulgaria;Import Quantity;972.0
Algeria;Burkina Faso;Export Quantity;0.0
Algeria;Burkina Faso;Import Quantity;16.0
Algeria;Burundi;Import Quantity;189.0
Algeria;Cabo Verde;Export Quantity;1505.0
Algeria;Cameroon;Export Quantity;19.0
Algeria;Cameroon;Import Quantity;7457.0
Algeria;Canada;Export Quantity;2709.0
Algeria;Canada;Import Quantity;1428865.0
Algeria;Chile;Import Quantity;656.0
Algeria;China, Hong Kong SAR;Export Quantity;29.0
Algeria;China, Hong Kong SAR;Import Quantity;137.0
Algeria;China, Taiwan Province of;Import Quantity;153.0
Algeria;China, mainland;Export Quantity;1200.0
Algeria;China, mainland;Import Quantity;69909.0
Algeria;Colombia;Import Quantity;358.0
Algeria;Congo;Export Quantity;0.0
Algeria;Costa Rica;Import Quantity;118.0
Algeria;Croatia;Export Quantity;1475.0
Algeria;Croatia;Import Quantity;32.0
Algeria;Cuba;Export Quantity;0.0
Algeria;Cuba;Import Quantity;0.0
Algeria;Cyprus;Export Quantity;1650.0
Algeria;Czechia;Export Quantity;3.0
Algeria;Czechia;Import Quantity;92305.0
Algeria;Côte d'Ivoire;Export Quantity;802.0
Algeria;Côte d'Ivoire;Import Quantity;31623.0
Algeria;Denmark;Import Quantity;24126.0
Algeria;Ecuador;Import Quantity;96069.0
Algeria;Egypt;Import Quantity;60045.0
Algeria;El Salvador;Import Quantity;1400.0
Algeria;Equatorial Guinea;Export Quantity;145.0
Algeria;Estonia;Export Quantity;20.0
Algeria;Estonia;Import Quantity;118775.0
Algeria;Ethiopia;Export Quantity;36615.0
Algeria;Ethiopia;Import Quantity;174.0
Algeria;Finland;Import Quantity;31610.0
Algeria;France;Export Quantity;51291.0
Algeria;France;Import Quantity;3797075.0
Algeria;Gabon;Export Quantity;66.0
Algeria;Gambia;Export Quantity;1952.0
Algeria;Georgia;Export Quantity;450.0
Algeria;Georgia;Import Quantity;50.0
Algeria;Germany;Export Quantity;2203.0
Algeria;Germany;Import Quantity;232356.0
Algeria;Ghana;Export Quantity;10685.0
Algeria;Ghana;Import Quantity;727.0
Algeria;Greece;Export Quantity;5357.0
Algeria;Greece;Import Quantity;5103.0
Algeria;Guatemala;Import Quantity;46.0
Algeria;Guinea;Export Quantity;9994.0
Algeria;Guinea;Import Quantity;592.0
Algeria;Haiti;Import Quantity;398.0
Algeria;Honduras;Import Quantity;76.0
Algeria;Hungary;Export Quantity;21.0
Algeria;Hungary;Import Quantity;2783.0
Algeria;India;Export Quantity;1980.0
Algeria;India;Import Quantity;152213.0
Algeria;Indonesia;Export Quantity;534.0
Algeria;Indonesia;Import Quantity;109952.0
Algeria;Iran (Islamic Republic of);Import Quantity;6891.0
Algeria;Iraq;Export Quantity;251.0
Algeria;Iraq;Import Quantity;39.0
Algeria;Ireland;Import Quantity;20670.0
Algeria;Italy;Export Quantity;25091.0
Algeria;Italy;Import Quantity;60569.0
Algeria;Jamaica;Import Quantity;0.0
Algeria;Japan;Export Quantity;1.0
Algeria;Japan;Import Quantity;0.0
Algeria;Jordan;Export Quantity;89179.0
Algeria;Jordan;Import Quantity;591.0
Algeria;Kazakhstan;Export Quantity;62.0
Algeria;Kazakhstan;Import Quantity;13089.0
Algeria;Kenya;Export Quantity;250.0
Algeria;Kenya;Import Quantity;68.0
Algeria;Kuwait;Export Quantity;257.0
Algeria;Kyrgyzstan;Import Quantity;2222.0
Algeria;Latvia;Import Quantity;93318.0
Algeria;Lebanon;Export Quantity;32717.0
Algeria;Lebanon;Import Quantity;1671.0
Algeria;Liberia;Export Quantity;405.0
Algeria;Libya;Export Quantity;19033.0
Algeria;Lithuania;Import Quantity;51916.0
Algeria;Luxembourg;Export Quantity;12.0
Algeria;Luxembourg;Import Quantity;95.0
Algeria;Madagascar;Import Quantity;97.0
Algeria;Malawi;Import Quantity;251.0
Algeria;Malaysia;Export Quantity;574.0
Algeria;Malaysia;Import Quantity;9854.0
Algeria;Maldives;Export Quantity;19.0
Algeria;Maldives;Import Quantity;0.0
Algeria;Mali;Export Quantity;68.0
Algeria;Mali;Import Quantity;120.0
Algeria;Malta;Export Quantity;72.0
Algeria;Malta;Import Quantity;18.0
Algeria;Mauritania;Export Quantity;114799.0
Algeria;Mauritius;Export Quantity;44.0
Algeria;Mexico;Import Quantity;100928.0
Algeria;Morocco;Export Quantity;2885.0
Algeria;Morocco;Import Quantity;9973.0
Algeria;Myanmar;Import Quantity;66.0
Algeria;Netherlands;Export Quantity;1665.0
Algeria;Netherlands;Import Quantity;220040.0
Algeria;New Zealand;Export Quantity;29.0
Algeria;New Zealand;Import Quantity;165251.0
Algeria;Nicaragua;Import Quantity;1.0
Algeria;Niger;Export Quantity;30.0
Algeria;Niger;Import Quantity;69.0
Algeria;Nigeria;Export Quantity;113.0
Algeria;Nigeria;Import Quantity;1373.0
Algeria;North Macedonia;Import Quantity;93.0
Algeria;Norway;Import Quantity;0.0
Algeria;Oman;Export Quantity;129.0
Algeria;Oman;Import Quantity;82.0
Algeria;Pakistan;Export Quantity;0.0
Algeria;Pakistan;Import Quantity;13782.0
Algeria;Paraguay;Import Quantity;208852.0
Algeria;Peru;Import Quantity;607.0
Algeria;Philippines;Import Quantity;719.0
Algeria;Poland;Export Quantity;60.0
Algeria;Poland;Import Quantity;79706.0
Algeria;Portugal;Export Quantity;2.0
Algeria;Portugal;Import Quantity;8028.0
Algeria;Qatar;Export Quantity;1919.0
Algeria;Republic of Korea;Export Quantity;10.0
Algeria;Republic of Korea;Import Quantity;116.0
Algeria;Republic of Moldova;Import Quantity;57.0
Algeria;Romania;Export Quantity;10.0
Algeria;Romania;Import Quantity;24232.0
Algeria;Russian Federation;Export Quantity;5171.0
Algeria;Russian Federation;Import Quantity;403305.0
Algeria;Sao Tome and Principe;Export Quantity;81.0
Algeria;Saudi Arabia;Export Quantity;5893.0
Algeria;Saudi Arabia;Import Quantity;2242.0
Algeria;Senegal;Export Quantity;9709.0
Algeria;Serbia;Import Quantity;23374.0
Algeria;Sierra Leone;Export Quantity;1641.0
Algeria;Singapore;Import Quantity;579.0
Algeria;Slovenia;Import Quantity;24.0
Algeria;Somalia;Export Quantity;25.0
Algeria;South Africa;Export Quantity;61.0
Algeria;South Africa;Import Quantity;8285.0
Algeria;Spain;Export Quantity;33924.0
Algeria;Spain;Import Quantity;176025.0
Algeria;Sri Lanka;Export Quantity;1752.0
Algeria;Sri Lanka;Import Quantity;225.0
Algeria;Sudan;Export Quantity;4.0
Algeria;Sudan;Import Quantity;3718.0
Algeria;Sweden;Export Quantity;95.0
Algeria;Sweden;Import Quantity;87813.0
Algeria;Switzerland;Export Quantity;12.0
Algeria;Switzerland;Import Quantity;3754.0
Algeria;Syrian Arab Republic;Export Quantity;12925.0
Algeria;Syrian Arab Republic;Import Quantity;7894.0
Algeria;Tajikistan;Import Quantity;16139.0
Algeria;Thailand;Export Quantity;187.0
Algeria;Thailand;Import Quantity;90871.0
Algeria;Togo;Export Quantity;97.0
Algeria;Togo;Import Quantity;674.0
Algeria;Tunisia;Export Quantity;18155.0
Algeria;Tunisia;Import Quantity;15809.0
Algeria;Turkey;Export Quantity;60985.0
Algeria;Turkey;Import Quantity;96988.0
Algeria;Uganda;Import Quantity;3651.0
Algeria;Ukraine;Export Quantity;208.0
Algeria;Ukraine;Import Quantity;408154.0
Algeria;United Arab Emirates;Export Quantity;22276.0
Algeria;United Arab Emirates;Import Quantity;6122.0
Algeria;United Kingdom;Export Quantity;3847.0
Algeria;United Kingdom;Import Quantity;30735.0
Algeria;United Republic of Tanzania;Export Quantity;7825.0
Algeria;United Republic of Tanzania;Import Quantity;213.0
Algeria;United States of America;Export Quantity;2526.0
Algeria;United States of America;Import Quantity;1007459.0
Algeria;Uruguay;Import Quantity;205963.0
Algeria;Uzbekistan;Export Quantity;21.0
Algeria;Uzbekistan;Import Quantity;40.0
Algeria;Viet Nam;Export Quantity;1390.0
Algeria;Viet Nam;Import Quantity;121245.0
Algeria;Yemen;Export Quantity;152.0
Algeria;Zambia;Import Quantity;119.0
Algeria;Zimbabwe;Import Quantity;153.0
Angola;Algeria;Import Quantity;36.0
Angola;Antigua and Barbuda;Export Quantity;10.0
Angola;Argentina;Import Quantity;38686.0
Angola;Australia;Import Quantity;772.0
Angola;Austria;Import Quantity;1284.0
Angola;Belgium;Export Quantity;50.0
Angola;Belgium;Import Quantity;74174.0
Angola;Bosnia and Herzegovina;Import Quantity;270.0
Angola;Botswana;Import Quantity;424.0
Angola;Brazil;Import Quantity;798323.0
Angola;Cabo Verde;Export Quantity;0.0
Angola;Canada;Export Quantity;24.0
Angola;Canada;Import Quantity;54109.0
Angola;Chile;Import Quantity;390.0
Angola;China, Hong Kong SAR;Export Quantity;4.0
Angola;China, Hong Kong SAR;Import Quantity;0.0
Angola;China, Taiwan Province of;Import Quantity;3.0
Angola;China, mainland;Export Quantity;174.0
Angola;China, mainland;Import Quantity;27143.0
Angola;Colombia;Import Quantity;739.0
Angola;Congo;Export Quantity;442.0
Angola;Congo;Import Quantity;3415.0
Angola;Croatia;Import Quantity;241.0
Angola;Cyprus;Import Quantity;26.0
Angola;Czechia;Import Quantity;14.0
Angola;Côte d'Ivoire;Export Quantity;0.0
Angola;Côte d'Ivoire;Import Quantity;489.0
Angola;Denmark;Import Quantity;5948.0
Angola;Egypt;Import Quantity;6014.0
Angola;Estonia;Import Quantity;52.0
Angola;Eswatini;Import Quantity;0.0
Angola;France;Export Quantity;0.0
Angola;France;Import Quantity;217739.0
Angola;Georgia;Import Quantity;19432.0
Angola;Germany;Export Quantity;71.0
Angola;Germany;Import Quantity;62013.0
Angola;Ghana;Export Quantity;79.0
Angola;Ghana;Import Quantity;26.0
Angola;Greece;Import Quantity;421.0
Angola;Honduras;Import Quantity;0.0
Angola;Hungary;Import Quantity;2842.0
Angola;India;Export Quantity;38.0
Angola;India;Import Quantity;77353.0
Angola;Indonesia;Import Quantity;56730.0
Angola;Ireland;Export Quantity;0.0
Angola;Ireland;Import Quantity;3852.0
Angola;Israel;Import Quantity;1216.0
Angola;Italy;Export Quantity;0.0
Angola;Italy;Import Quantity;26278.0
Angola;Jordan;Import Quantity;178.0
Angola;Kenya;Import Quantity;116.0
Angola;Latvia;Import Quantity;27264.0
Angola;Lebanon;Export Quantity;180.0
Angola;Lebanon;Import Quantity;278.0
Angola;Lithuania;Export Quantity;499.0
Angola;Lithuania;Import Quantity;5276.0
Angola;Malaysia;Export Quantity;22.0
Angola;Malaysia;Import Quantity;156848.0
Angola;Malta;Import Quantity;966.0
Angola;Mauritius;Import Quantity;36.0
Angola;Mexico;Import Quantity;7302.0
Angola;Morocco;Export Quantity;7577.0
Angola;Morocco;Import Quantity;10768.0
Angola;Namibia;Export Quantity;1636.0
Angola;Namibia;Import Quantity;11135.0
Angola;Netherlands;Import Quantity;47245.0
Angola;New Zealand;Import Quantity;5612.0
Angola;Nicaragua;Import Quantity;0.0
Angola;Norway;Import Quantity;4.0
Angola;Oman;Import Quantity;14372.0
Angola;Pakistan;Import Quantity;7766.0
Angola;Paraguay;Export Quantity;28.0
Angola;Paraguay;Import Quantity;9679.0
Angola;Peru;Import Quantity;36.0
Angola;Philippines;Import Quantity;27.0
Angola;Poland;Export Quantity;0.0
Angola;Poland;Import Quantity;16170.0
Angola;Portugal;Export Quantity;7183.0
Angola;Portugal;Import Quantity;364325.0
Angola;Republic of Korea;Export Quantity;0.0
Angola;Republic of Korea;Import Quantity;493.0
Angola;Republic of Moldova;Import Quantity;0.0
Angola;Romania;Import Quantity;141.0
Angola;Russian Federation;Import Quantity;7752.0
Angola;Sao Tome and Principe;Export Quantity;25.0
Angola;Sao Tome and Principe;Import Quantity;628.0
Angola;Senegal;Import Quantity;151.0
Angola;Serbia;Import Quantity;198.0
Angola;Singapore;Import Quantity;19404.0
Angola;Slovakia;Import Quantity;17.0
Angola;South Africa;Export Quantity;16.0
Angola;South Africa;Import Quantity;206722.0
Angola;Spain;Export Quantity;76.0
Angola;Spain;Import Quantity;25329.0
Angola;Sri Lanka;Import Quantity;436.0
Angola;Sweden;Import Quantity;3641.0
Angola;Switzerland;Import Quantity;66.0
Angola;Thailand;Export Quantity;0.0
Angola;Thailand;Import Quantity;794244.0
Angola;Togo;Export Quantity;77.0
Angola;Tunisia;Import Quantity;472.0
Angola;Turkey;Import Quantity;316661.0
Angola;Uganda;Export Quantity;0.0
Angola;Uganda;Import Quantity;839.0
Angola;Ukraine;Import Quantity;89785.0
Angola;United Kingdom;Export Quantity;300.0
Angola;United Kingdom;Import Quantity;17169.0
Angola;United Republic of Tanzania;Export Quantity;0.0
Angola;United Republic of Tanzania;Import Quantity;19934.0
Angola;United States of America;Import Quantity;209169.0
Angola;Uruguay;Import Quantity;3649.0
Angola;Zambia;Import Quantity;1261.0
Angola;Zimbabwe;Export Quantity;0.0
Antigua and Barbuda;Andorra;Import Quantity;0.0
Antigua and Barbuda;Angola;Import Quantity;10.0
Antigua and Barbuda;Anguilla;Export Quantity;163.0
Antigua and Barbuda;Anguilla;Import Quantity;5.0
Antigua and Barbuda;Argentina;Import Quantity;116.0
Antigua and Barbuda;Australia;Export Quantity;1.0
Antigua and Barbuda;Australia;Import Quantity;73.0
Antigua and Barbuda;Austria;Import Quantity;17.0
Antigua and Barbuda;Bahamas;Import Quantity;21.0
Antigua and Barbuda;Barbados;Export Quantity;345.0
Antigua and Barbuda;Barbados;Import Quantity;1747.0
Antigua and Barbuda;Belgium;Import Quantity;693.0
Antigua and Barbuda;Belize;Export Quantity;13.0
Antigua and Barbuda;Belize;Import Quantity;158.0
Antigua and Barbuda;Bolivia (Plurinational State of);Import Quantity;0.0
Antigua and Barbuda;Brazil;Import Quantity;3685.0
Antigua and Barbuda;British Virgin Islands;Export Quantity;1.0
Antigua and Barbuda;British Virgin Islands;Import Quantity;8.0
Antigua and Barbuda;Bulgaria;Import Quantity;1.0
Antigua and Barbuda;Canada;Export Quantity;29.0
Antigua and Barbuda;Canada;Import Quantity;1454.0
Antigua and Barbuda;Chile;Import Quantity;445.0
